10.162.18.0/24,AUS/NSW/SYD/QCB,SYDQCX,"::::UAT - QCB Level 7 #3"
10.161.160.0/24,AUS/NSW/SYD/QCF,SYDQCX,"SYDQFC Catering #1"
10.158.197.0/24,AUS/NSW/BNE/DTB,BNEAPT,"BNEDTB Engineering GND #1"
10.158.196.0/24,AUS/NSW/BNE/DTB,BNEAPT,"BNEDTB Engineering GND #2"
10.153.87.0/24,AUS/NSW/SYD/QCA,SYDQCX,"QCA Level 4 #4"
10.153.86.0/24,AUS/NSW/SYD/QCA,SYDQCX,"QCA Level 4 Wireless #1"
10.153.85.0/24,AUS/NSW/SYD/QCA,SYDQCX,"QCA Level 4 #3"
10.153.80.0/24,AUS/NSW/SYD/QCA,SYDQCX,"UAT - QCA Level 4 #2"
10.152.40.0/24,AUS/NSW/SYD/QCB,SYDQCX,"UAT - QCB Level 7 #1"
10.152.39./24,AUS/NSW/SYD/QCB,SYDQCX,"UAT - QCB Level 7 #2"
10.152.37.0/24,AUS/NSW/SYD/QCB,SYDQCX,"TCS and Satyam - QCB Level 5 #2"
10.152.36.0/24,AUS/NSW/SYD/QCB,SYDQCX,"TCS and Satyam - QCB Level 5 #1"
10.152.165.0/24,AUS/NSW/SYD/QCE,SYDQCX,"QCE Level 3 #1"
10.152.14.0/24,AUS/NSW/SYD/QCA,SYDQCX,"UAT - QCA Level 4 #1"
10.152.13.0/24,AUS/NSW/SYD/QCA,SYDQCX,"QCA Level 4 West #1"
10.152.12.0/24,AUS/NSW/SYD/QCA,SYDQCX,"QCA Level 4 #5"
10.152.101.0/24,AUS/NSW/SYD/QCC,SYDQCX,"T&C QCC Level 4 #1"
10.134.54.0/24,AUS/NSW/SYD/NDC,SYDQCX,"UAT - ESX Infrastructure"
10.134.18.0/25,AUS/NSW/SYD/VCS,SYDQCX,"QAN-VCS-001"
10.134.18.128/25,AUS/NSW/SYD/VCS,SYDQCX,"QAN-VCS-001"
