azeta,10.162.18.0/24,"FUUUUJIIIIITSUUUUUUU"
azeta,10.161.160.0/24,"FUUUUJIIIIITSUUUUUUU"
10.158.197.0/24,"FUUUUJIIIIITSUUUUUUU"
10.158.196.0/24,"FUUUUJIIIIITSUUUUUUU"
10.153.87.0/24,"FUUUUJIIIIITSUUUUUUU"
10.153.86.0/24,"FUUUUJIIIIITSUUUUUUU"
10.153.85.0/24,"FUUUUJIIIIITSUUUUUUU"
10.153.80.0/24,"FUUUUJIIIIITSUUUUUUU"
10.152.40.0/24,"FUUUUJIIIIITSUUUUUUU"
10.152.39./24,"FUUUUJIIIIITSUUUUUUU"
10.152.37.0/24,"FUUUUJIIIIITSUUUUUUU"
10.152.36.0/24,"FUUUUJIIIIITSUUUUUUU"
10.152.165.0/24,"FUUUUJIIIIITSUUUUUUU"
10.152.14.0/24,"FUUUUJIIIIITSUUUUUUU"
10.152.13.0/24,"FUUUUJIIIIITSUUUUUUU"
10.152.12.0/24,"FUUUUJIIIIITSUUUUUUU"
10.152.101.0/24,"FUUUUJIIIIITSUUUUUUU"
10.134.54.0/24,"FUUUUJIIIIITSUUUUUUU"
10.134.18.0/25,"FUUUUJIIIIITSUUUUUUU"
10.134.18.128/25,"FUUUUJIIIIITSUUUUUUU"
