azeta,AVVHG4-DC,"Link from AVVHG4 to Sydney Data Centre"
azeta,CNSAPT-DC,"Link from CNSAPT to Sydney Data Centre"
azeta,ABXDTB-DC,"Link from ABXDTB to Sydney Data Centre"
azeta,ADLNJS-DC,"Link from ADLNJS to Sydney Data Centre"
azeta,AMR343-DC,"Link from AMR343 to Sydney Data Centre"
azeta,ARMDTB-DC,"Link from ARMDTB to Sydney Data Centre"
azeta,ASPDTB-DC,"Link from ASPDTB to Sydney Data Centre"
azeta,AYQDTB-DC,"Link from AYQDTB to Sydney Data Centre"
azeta,BDBDTB-DC,"Link from BDBDTB to Sydney Data Centre"
azeta,BKQDTB-DC,"Link from BKQDTB to Sydney Data Centre"
azeta,BMEDTB-DC,"Link from BMEDTB to Sydney Data Centre"
azeta,BNEASA-DC,"Link from BNEASA to Sydney Data Centre"
azeta,BNEBOW-DC,"Link from BNEBOW to Sydney Data Centre"
azeta,BNECCA-DC,"Link from BNECCA to Sydney Data Centre"
azeta,BNESNP-DC,"Link from BNESNP to Sydney Data Centre"
azeta,CBRDTB-DC,"Link from CBRDTB to Sydney Data Centre"
azeta,CBRHGR-DC,"Link from CBRHGR to Sydney Data Centre"
azeta,CBRHQB-DC,"Link from CBRHQB to Sydney Data Centre"
azeta,CBRQDS-DC,"Link from CBRQDS to Sydney Data Centre"
azeta,CFSDTB-DC,"Link from CFSDTB to Sydney Data Centre"
azeta,CTLDTB-DC,"Link from CTLDTB to Sydney Data Centre"
azeta,DBODTB-DC,"Link from DBODTB to Sydney Data Centre"
azeta,DPODTB-DC,"Link from DPODTB to Sydney Data Centre"
azeta,DRWAMC-DC,"Link from DRWAMC to Sydney Data Centre"
azeta,DRWDTB-DC,"Link from DRWDTB to Sydney Data Centre"
azeta,DRWHQB-DC,"Link from DRWHQB to Sydney Data Centre"
azeta,EMDDTB-DC,"Link from EMDDTB to Sydney Data Centre"
azeta,GLTDTB-DC,"Link from GLTDTB to Sydney Data Centre"
azeta,GOVDTB-DC,"Link from GOVDTB to Sydney Data Centre"
azeta,GOVTCG-DC,"Link from GOVTCG to Sydney Data Centre"
azeta,HBACCA-DC,"Link from HBACCA to Sydney Data Centre"
azeta,HBADTB-DC,"Link from HBADTB to Sydney Data Centre"
azeta,HIDDTB-DC,"Link from HIDDTB to Sydney Data Centre"
azeta,HTIDTB-DC,"Link from HTIDTB to Sydney Data Centre"
azeta,HVBDTB-DC,"Link from HVBDTB to Sydney Data Centre"
azeta,ISADTB-DC,"Link from ISADTB to Sydney Data Centre"
azeta,KGIDTB-DC,"Link from KGIDTB to Sydney Data Centre"
azeta,KTADTB-DC,"Link from KTADTB to Sydney Data Centre"
azeta,LEADTB-DC,"Link from LEADTB to Sydney Data Centre"
azeta,LREDTB-DC,"Link from LREDTB to Sydney Data Centre"
azeta,LSTDTB-DC,"Link from LSTDTB to Sydney Data Centre"
azeta,MELADC-DC,"Link from MELADC to Sydney Data Centre"
azeta,MELBOM-DC,"Link from MELBOM to Sydney Data Centre"
azeta,MELCCC-DC,"Link from MELCCC to Sydney Data Centre"
azeta,MELDAP-DC,"Link from MELDAP to Sydney Data Centre"
azeta,MELECC-DC,"Link from MELECC to Sydney Data Centre"
azeta,MELHQ2-DC,"Link from MELHQ2 to Sydney Data Centre"
azeta,MELMCC-DC,"Link from MELMCC to Sydney Data Centre"
azeta,MELRES-DC,"Link from MELRES to Sydney Data Centre"
azeta,MELSIR-DC,"Link from MELSIR to Sydney Data Centre"
azeta,MHUDTB-DC,"Link from MHUDTB to Sydney Data Centre"
azeta,MKYDTB-DC,"Link from MKYDTB to Sydney Data Centre"
azeta,MQLDTB-DC,"Link from MQLDTB to Sydney Data Centre"
azeta,MRZDTB-DC,"Link from MRZDTB to Sydney Data Centre"
azeta,NTLDTB-DC,"Link from NTLDTB to Sydney Data Centre"
azeta,PBODTB-DC,"Link from PBODTB to Sydney Data Centre"
azeta,PERHCH-DC,"Link from PERHCH to Sydney Data Centre"
azeta,PERHQB-DC,"Link from PERHQB to Sydney Data Centre"
azeta,PHEDTB-DC,"Link from PHEDTB to Sydney Data Centre"
azeta,PLODTB-DC,"Link from PLODTB to Sydney Data Centre"
azeta,PQQDTB-DC,"Link from PQQDTB to Sydney Data Centre"
azeta,RMADTB-DC,"Link from RMADTB to Sydney Data Centre"
azeta,ROKDTB-DC,"Link from ROKDTB to Sydney Data Centre"
azeta,SYDAC1-DC,"Link from SYDAC1 to Sydney Data Centre"
azeta,SYDAC2-DC,"Link from SYDAC2 to Sydney Data Centre"
azeta,SYDARG-DC,"Link from SYDARG to Sydney Data Centre"
azeta,SYDASC-DC,"Link from SYDASC to Sydney Data Centre"
azeta,SYDCTR-DC,"Link from SYDCTR to Sydney Data Centre"
azeta,SYDDT2-DC,"Link from SYDDT2 to Sydney Data Centre"
azeta,SYDFT2-DC,"Link from SYDFT2 to Sydney Data Centre"
azeta,SYDGKN-DC,"Link from SYDGKN to Sydney Data Centre"
azeta,SYDHCH-DC,"Link from SYDHCH to Sydney Data Centre"
azeta,SYDHDC-DC,"Link from SYDHDC to Sydney Data Centre"
azeta,SYDQDS-DC,"Link from SYDQDS to Sydney Data Centre"
azeta,SYDRAF-DC,"Link from SYDRAF to Sydney Data Centre"
azeta,TMWDTB-DC,"Link from TMWDTB to Sydney Data Centre"
azeta,TMWEAA-DC,"Link from TMWEAA to Sydney Data Centre"
azeta,TSVDTB-DC,"Link from TSVDTB to Sydney Data Centre"
azeta,WEIDTB-DC,"Link from WEIDTB to Sydney Data Centre"
azeta,WGADTB-DC,"Link from WGADTB to Sydney Data Centre"
azeta,ZNEDTB-DC,"Link from ZNEDTB to Sydney Data Centre"
